,Logistic Regression,Linear Discriminant Analysis,K Neighbours Classifier,Decision Tree Classifier,Gaussian NB,Random Forrest,MLPClassifier,AdaBoostClassifier
ALLKNN,0.587 (0.86),0.622 (0.86),0.716 (0.90),0.734 (0.85),0.663 (0.83),0.711 (0.89),0.517 (0.83),0.661 (0.87)
NearMiss,0.807 (0.82),0.795 (0.80),0.855 (0.86),0.845 (0.84),0.779 (0.78),0.839 (0.86),0.808 (0.78),0.873 (0.88)
TomekLinks,0.524 (0.88),0.541 (0.88),0.597 (0.88),0.607 (0.83),0.594 (0.85),0.582 (0.88),0.538 (0.82),0.543 (0.88)
NeighbourhoodCleaningRule,0.554 (0.87),0.580 (0.87),0.660 (0.89),0.670 (0.85),0.643 (0.83),0.667 (0.89),0.546 (0.85),0.627 (0.88)
InstanceHardnessThreshold,0.642 (0.84),0.648 (0.85),0.702 (0.87),0.726 (0.85),0.641 (0.83),0.751 (0.89),0.622 (0.77),0.715 (0.87)
RandomUnderSampler,0.667 (0.65),0.653 (0.65),0.654 (0.65),0.636 (0.61),0.660 (0.63),0.678 (0.66),0.642 (0.59),0.702 (0.68)
,,,,,,,,
,,,,,,,,
,Logistic Regression,Linear Discriminant Analysis,K Neighbours Classifier,Decision Tree Classifier,Gaussian NB,Random Forrest,MLPClassifier,AdaBoostClassifier
ALLKNN,0.587,0.622,0.716,0.734,0.663,0.711,0.517,0.661
NearMiss,0.807,0.795,0.855,0.845,0.779,0.839,0.808,0.873
TomekLinks,0.524,0.541,0.597,0.607,0.594,0.582,0.538,0.543
NeighbourhoodCleaningRule,0.554,0.58,0.66,0.67,0.643,0.667,0.546,0.627
InstanceHardnessThreshold,0.642,0.648,0.702,0.726,0.641,0.751,0.622,0.715
RandomUnderSampler,0.667,0.653,0.654,0.636,0.66,0.678,0.642,0.702
