,Cough,Fever,Abdominal_pain,skin_rash,Lactic_acisdosis,Lipodystrophy,Anemia,Anorexia,Diarrhea,Leg_pain,Night_Sweats,Other,Peripheral_neuropathy,Vomiting,Weight_loss,Age,Last Drug,Tot Prev Month Symptoms
Original_symptoms.csv
Cough,0.243534892709,0.0597300977459,0.0660133599731,0.215554802003,0.0453318234872,0.0941620419355,0.00233089154738,0.00673248924556,0.00708838049998,0.0186416425797,0.0235440944481,0.0394288380921,0.0245232313361,0.00526595770215,0.0426793128051,0.0648040429506,0.0219975918953,0.0186365090438
Fever,0.100779433532,0.234737426988,0.0369578091595,0.0293153951978,0.0125446137642,0.0171818634404,0.00712905278816,0.0201441338829,0.0151054240543,0.0261856414587,0.0800643640201,0.0554125149594,0.0231466978025,0.0225327346002,0.0351970087237,0.166455495838,0.0673187669204,0.0497916228703
Abdominal pain,0.0599039612995,0.0387498043416,0.361302069367,0.0644408852695,0.0339073844147,0.0315581651641,0.00404250327407,0.0315906048706,0.0280614152621,0.0321224826869,0.00684042143032,0.0490782574495,0.023747396869,0.00996302271054,0.00872011925946,0.122768506834,0.0513683716369,0.0418346278603
Skin rash,0.0791011348257,0.0269654864449,0.07639620102,0.173146028727,0.226154650229,0.146011993397,0.000880459051117,0.0748409748872,0.00462361758595,0.0186696331893,0.00314238616029,0.0172089241031,0.0130582839843,0.00196518342758,0.00449853357066,0.0790217762814,0.0242251323833,0.0300896007318
Lipodystrophy,0.0489223364804,0.0212199482343,0.0216457075638,0.0444936655651,0.0920488296856,0.416003433116,0.00191108581547,0.0160354179955,0.00556633871866,0.0322015987178,0.00114909288623,0.0355643288415,0.02007053914,0.00060270897083,0.00546281250371,0.133305888436,0.0830365598407,0.0207597074891
Anemia,0.0540249312977,0.059180574447,0.00029403424886,0.00887074560274,0.0,0.0645863743266,0.475960065905,0.0433588126117,0.0240632147084,0.0302316895503,0.00876562782542,0.0322870240676,0.0351452575357,0.000241932900246,0.0102425609333,0.0698853971391,0.0465408470909,0.0363209098091
Anorexia,0.0425537080048,0.0402981304202,0.0549470225668,0.0167578013318,0.0346583932161,0.0120952545515,2.71280919921e-05,0.46836206797,0.0333291791231,0.0275124689663,0.00321621634921,0.0296422236051,0.0261474897796,0.00533894988082,0.027654646166,0.0970153762957,0.04464230411,0.0358016395715
Diarrhea,0.0533554579486,0.0319136741466,0.054979461642,0.0430851727477,0.0072312979105,0.0165379491145,0.0106095035083,0.0337242606762,0.351006054701,0.0268873385251,0.00619060149942,0.0533947848459,0.0280013942282,0.02000484062,0.00649966813612,0.141628700717,0.0577168843336,0.0572329546986
Leg pain / numbness,0.0697202913161,0.0659359038208,0.0544197065315,0.0275238021881,0.0167479506296,0.0645710321013,0.00438197171552,0.0222376207168,0.0102897384828,0.32300642978,0.00656561458683,0.0662332549292,0.0571038587168,0.00657169626967,0.0120448957999,0.101811908625,0.059510443015,0.0313238807751
Night sweats,0.310741472915,0.130984222741,1.13705609697e-05,0.000439732394477,0.000164224689204,0.000244453025738,2.11628333666e-05,0.000364854606998,3.45365860048e-07,0.00377171874837,0.160474985871,0.0138146602788,0.00737565143631,0.0,0.061075368772,0.161328844371,0.113264902146,0.0359220292442
Peripheral neuropathy,0.0581107977527,0.0211619802754,0.0262661025248,0.0374049095966,0.057953973756,0.0243267360764,0.00412568374142,0.0201728725604,0.0176679740818,0.136620933124,0.00773518395579,0.0570536987366,0.29467405202,0.00693953888284,0.0162247379092,0.12207903237,0.0567512778941,0.0347305147415
Vomiting,0.0402647655505,0.0204236463487,0.066260844995,0.0124728271758,0.0,0.00635547597996,0.00965030073473,0.0111256750052,0.0525672801197,0.0247365866889,0.00777747298721,0.0348776757335,0.0192850867162,0.390120670255,0.0091309704766,0.123392965862,0.119582400364,0.0519753550069
Weight loss / Failure to thrive / malnutrition,0.277806915985,0.0936775942176,0.0139966141507,0.0343060867433,0.0349497358058,0.0104563491839,1.99847938541e-06,0.000107327900129,0.00357672030673,0.0160294879166,0.0471777821168,0.0363858350497,0.0131292765353,0.0027825260628,0.32887412438,0.0636950870274,0.0122010802944,0.0108454578441
Other symptom,0.100583075133,0.0444710668377,0.0946950719504,0.0526122376382,0.0183421265397,0.0274599644015,0.00421784318656,0.0175694947784,0.0172801105843,0.0502402412135,0.0117767383184,0.302106530173,0.0282239277105,0.0108514881397,0.0227668282182,0.117350040933,0.046981320707,0.0324718935381
No symptoms,0.0863084478053,0.0593785765551,0.0566356936749,0.0545588862989,0.0349423219537,0.0381172979216,0.00253258016479,0.0390004039527,0.00962018163508,0.0419732707595,0.0103571052998,0.0310549906967,0.0330280765422,0.00815407321894,0.0121080981155,0.28644317068,0.0896476790001,0.106139145725

RandomUnderSampler_0.6_symptoms.csv
Cough,0.142540188752,0.0669967542454,0.0155140603494,0.0191326530612,0.0,0.00327169274538,0.0131578947368,0.0121381886088,0.0215311004785,0.00348583074534,0.103412915337,0.0771046287808,0.00292779503106,0.000239158163265,0.0496036837228,0.323449688276,0.0974101452475,0.0480836217185
Fever,0.0302007245271,0.249639617361,0.0307801064971,0.00407036249733,0.0,0.0110253792335,0.0328287928348,0.0316401497269,0.0150795019216,0.1073037808,0.0702816717948,0.0543764273075,0.0110878095252,0.0238064110421,0.0278067636389,0.161275680911,0.115377932417,0.0234188879657
Abdominal pain,0.0517194749554,0.0713757630769,0.238222668108,0.0476150988143,0.0247945762201,0.121621258713,0.0,0.0654409309758,0.0218237784616,0.0168125198621,0.0485637941985,0.0828118790935,0.000363942841819,0.00935064935065,0.0,0.0578275855306,0.0624844121078,0.0791716676905
Skin rash,0.0794594309702,0.154307528048,0.0552622049474,0.0876047347822,0.0565244580254,0.0910140924514,0.0,0.170751035601,0.000574241181296,0.0234375,0.0,0.0,0.00347826086957,0.0,0.0,0.168851627229,0.0190428053179,0.0896920805768
Lipodystrophy,0.109948897046,0.0168858664272,0.0788340996674,0.21627375141,0.0679460565378,0.224917500713,0.0,0.103640947907,0.0004004004004,0.0031512064619,0.0,0.0103841802773,0.0,0.0,0.00236013986014,0.0865066949555,0.0241742808332,0.0545759775023
Anemia,0.0134367678641,0.0124532506706,0.0157756567395,0.0,0.0,0.0231925644778,0.701428798761,0.0,0.0348661811518,0.00446428571429,0.00629312102742,0.0213342381538,0.00511436755366,0.00290351849985,0.0111047860283,0.0858455394296,0.0311726679468,0.0306142559812
Anorexia,0.0706692192925,0.103266034753,0.00353009822036,0.0450662828813,0.123335305602,0.0510958509141,0.0,0.341761066634,0.0,0.0169467146126,0.0,0.010332924895,0.0135402993825,0.000579710144928,0.0012474012474,0.148081246051,0.0669705656174,0.00357727975132
Diarrhea,0.0128821696109,0.000669234541189,0.0225212702277,0.00776397515528,0.0474007842429,0.00175470901076,0.0123456790123,0.0106378657462,0.632270763844,0.00789730767183,0.0,0.0210084215639,0.0066276563983,0.0304858722393,0.0026918321036,0.0636964039964,0.102341559622,0.0170044950133
Leg pain / numbness,0.104972275139,0.0377068914088,0.0313664313664,0.128519238501,0.0773176149612,0.035321821241,0.0,0.00725749559083,0.00500735931682,0.146647514565,0.0,0.0239511897963,0.0962668569972,8.14308564781e-05,0.000101390600246,0.126308413635,0.155778949845,0.0233951261794
